mq2,mq136,category
10.0,55.0,SEDANG
10.0,55.0,SEDANG
11.0,55.0,SEDANG
11.0,56.0,SEDANG
15.0,56.0,SEDANG
14.0,56.0,SEDANG
10.0,56.0,SEDANG
13.0,56.0,SEDANG
7.0,55.0,SEDANG
15.0,56.0,SEDANG
13.0,56.0,SEDANG
20.0,55.0,SEDANG
11.0,55.0,SEDANG
12.0,55.0,SEDANG
13.0,13.0,SEDANG
15.0,29.0,SEDANG
23.0,30.0,SEDANG
32.0,30.0,TIDAK SEHAT
19.0,30.0,SEDANG
22.0,30.0,TIDAK SEHAT
17.0,30.0,TIDAK SEHAT
18.0,30.0,TIDAK SEHAT
13.0,30.0,SEDANG
12.0,30.0,SEDANG
13.0,30.0,SEDANG
15.0,30.0,SEDANG
15.0,30.0,SEDANG
12.0,30.0,SEDANG
13.0,30.0,TIDAK SEHAT
12.0,30.0,SEDANG
14.0,31.0,TIDAK SEHAT
17.0,31.0,SEDANG
18.0,31.0,TIDAK SEHAT
17.0,31.0,TIDAK SEHAT
16.0,31.0,TIDAK SEHAT
15.0,31.0,SEDANG
18.0,30.0,SEDANG
12.0,30.0,SEDANG
15.0,30.0,SEDANG
13.0,31.0,TIDAK SEHAT
14.0,31.0,TIDAK SEHAT
11.0,31.0,SEDANG
11.0,31.0,SEDANG
13.0,31.0,TIDAK SEHAT
17.0,23.0,SEDANG
17.0,23.0,SEDANG
18.0,24.0,SEDANG
22.0,26.0,SEDANG
23.0,26.0,SEDANG
18.0,26.0,SEDANG
21.0,28.0,TIDAK SEHAT
20.0,28.0,TIDAK SEHAT
22.0,28.0,TIDAK SEHAT
16.0,26.0,SEDANG
17.0,25.0,SEDANG
23.0,25.0,SEDANG
16.0,24.0,SEDANG
23.0,25.0,TIDAK SEHAT
23.0,26.0,SEDANG
20.0,26.0,SEDANG
20.0,27.0,SEDANG
21.0,29.0,TIDAK SEHAT
21.0,28.0,TIDAK SEHAT
20.0,24.0,SEDANG
22.0,24.0,SEDANG
18.0,25.0,SEDANG
26.0,31.0,SEDANG
22.0,30.0,SEDANG
26.0,27.0,TIDAK SEHAT
17.0,26.0,SEDANG
18.0,28.0,SEDANG
21.0,28.0,TIDAK SEHAT
19.0,28.0,TIDAK SEHAT
17.0,28.0,SEDANG
21.0,27.0,TIDAK SEHAT
